0112_2018_149,14:15,68,0,food,Eureka!,eating
0112_2018_149,14:16,71,13,food,Eureka!,eating
0114_2018_140,12:46,58,0,food,Eat Chow,eating
0114_2018_140,12:47,59,0,food,Eat Chow,eating
0114_2018_140,12:48,56,0,food,Eat Chow,eating
0114_2018_140,12:49,58,0,food,Eat Chow,eating
0114_2018_140,12:50,59,0,food,Eat Chow,eating
0114_2018_140,12:51,56,0,food,Eat Chow,eating
0114_2018_140,12:52,54,0,food,Eat Chow,eating
0114_2018_140,12:53,56,0,food,Eat Chow,eating
0114_2018_140,12:54,56,0,food,Eat Chow,eating
0114_2018_140,12:55,58,0,food,Eat Chow,eating
0114_2018_140,12:56,61,0,food,Eat Chow,eating
0114_2018_140,12:57,58,0,food,Eat Chow,eating
0114_2018_140,12:58,58,0,food,Eat Chow,eating
0114_2018_140,12:59,57,0,food,Eat Chow,eating
0114_2018_140,13:00,56,0,food,Eat Chow,eating
0114_2018_140,13:01,58,0,food,Eat Chow,eating
0114_2018_140,13:02,58,0,food,Eat Chow,eating
0114_2018_140,13:03,61,12,food,Eat Chow,eating
0114_2018_140,13:04,59,0,food,Eat Chow,eating
0114_2018_140,13:05,56,0,food,Eat Chow,eating
0114_2018_140,13:06,56,0,food,Eat Chow,eating
0114_2018_140,13:07,55,0,food,Eat Chow,eating
0114_2018_140,13:08,58,0,food,Eat Chow,eating
0114_2018_140,13:09,65,0,food,Eat Chow,eating
0114_2018_140,13:10,62,0,food,Eat Chow,eating
0114_2018_140,13:11,66,0,food,Eat Chow,eating
0114_2018_140,13:12,64,0,food,Eat Chow,eating
0114_2018_140,13:13,65,0,food,Eat Chow,eating
0114_2018_140,13:14,66,0,food,Eat Chow,eating
0114_2018_140,13:15,64,0,food,Eat Chow,eating
0114_2018_140,13:16,62,0,food,Eat Chow,eating
0114_2018_140,13:17,66,0,food,Eat Chow,eating
0114_2018_140,13:18,67,0,food,Eat Chow,eating
0114_2018_140,13:19,62,0,food,Eat Chow,eating
0114_2018_140,13:20,62,0,food,Eat Chow,eating
0114_2018_140,13:21,66,0,food,Eat Chow,eating
0114_2018_140,13:22,64,0,food,Eat Chow,eating
